DES,LUV,STK,SMART,,,,,SLD|4/4/2011|3|-NRB|-NRB
DES,ISIL,STK,SMART,,,,,BOT|4/5/2011|2|+NRB|-NRB
DES,ONNN,STK,SMART,,,,,BOT|4/5/2011|2|+NRB|-NRB
DES,EXPE,STK,SMART,,,,,BOT|4/5/2011|3|+NRB|-NRB
DES,CBST,STK,SMART,,,,,BOT|4/5/2011|3|+NRB|-NRB
DES,CREE,STK,SMART,,,,,SLD|4/5/2011|3|+NRB|-NRB
DES,KBH,STK,SMART,,,,,SLD|4/5/2011|3|+NRB|-NRB
DES,TXN,STK,SMART,,,,,SLD|4/5/2011|3|+NRB|-NRB
DES,PIR,STK,SMART,,,,,BOT|4/7/2011|2|+NRB|-DD
DES,STZ,STK,SMART,,,,,BOT|4/7/2011|2|+NRB|-DD
DES,PBY,STK,SMART,,,,,BOT|4/7/2011|2|+NRB|-DD
DES,BBBY,STK,SMART,,,,,BOT|4/7/2011|3|+NRB|-DD
DES,XNPT,STK,SMART,,,,,BOT|4/7/2011|3|+NRB|-DD
DES,GPS,STK,SMART,,,,,SLD|4/7/2011|2|+NRB|-DD
DES,RT,STK,SMART,,,,,SLD|4/7/2011|3|+NRB|-DD
DES,TPX,STK,SMART,,,,,BOT|4/8/2011|2|-NRB|-WRB
DES,STX,STK,SMART,,,,,BOT|4/8/2011|2|-NRB|-WRB
DES,EXPE,STK,SMART,,,,,BOT|4/8/2011|2|-NRB|-WRB
DES,LPSN,STK,SMART,,,,,BOT|4/8/2011|3|-NRB|-WRB
DES,MWW,STK,SMART,,,,,BOT|4/8/2011|3|-NRB|-WRB
DES,NXPI,STK,SMART,,,,,BOT|4/8/2011|3|-NRB|-WRB
DES,HERO,STK,SMART,,,,,SLD|4/8/2011|2|-NRB|-WRB
DES,SPR,STK,SMART,,,,,SLD|4/8/2011|3|-NRB|-WRB
DES,VVUS,STK,SMART,,,,,BOT|4/11/2011|3|-NRB|-NRB
DES,MCP,STK,SMART,,,,,BOT|4/11/2011|3|-NRB|-NRB
DES,RIG,STK,SMART,,,,,BOT|4/11/2011|3|-NRB|-NRB
DES,BIDU,STK,SMART,,,,,BOT|4/11/2011|3|-NRB|-NRB
DES,LEAP,STK,SMART,,,,,BOT|4/11/2011|3|-NRB|-NRB
DES,BIIB,STK,SMART,,,,,BOT|4/11/2011|3|-NRB|-NRB
